hh,zdcj
47,-7.8333
48,-7.8333
49,-7.8333
50,-7.8333
51,-7.8333
52,-11.6638
53,-11.6638
54,-11.6638
55,-11.6638
56,-11.6638
67,-8.26
68,-8.26
69,-8.26
70,-8.26
79,-8.26
95,-8.9442
96,-8.9442
101,-8.9442
102,-8.9442
103,-8.9442
104,-9.9164
105,-9.9164
106,-9.9164
107,-9.9164
108,-9.9164
109,-9.2732
110,-9.2732
111,-9.2732
112,-9.2732
113,-9.2732
114,-8.5905
115,-8.5905
116,-8.5905
117,-8.5905
118,-8.5905
119,-10.7931
120,-10.7931
121,-10.7931
122,-10.7931
123,-10.7931
124,-11.5932
125,-11.5932
126,-11.5932
127,-11.5932
128,-11.5932
129,-8.4872
130,-8.4872
131,-8.4872
132,-8.4872
133,-8.4872
134,-10.0498
135,-10.0498
136,-10.0498
137,-10.0498
138,-10.0498
139,-13.7294
140,-13.7294
141,-13.7294
142,-13.7294
143,-13.7294
154,-13.996
155,-13.996
156,-13.996
157,-13.996
158,-13.996
159,-12.7044
160,-12.7044
161,-12.7044
162,-12.7044
163,-12.7044
164,-15.244
165,-15.244
166,-15.244
167,-15.244
169,-15.244
170,-14.1796
171,-14.1796
172,-14.1796
173,-14.1796
174,-14.1796
175,-13.4368
176,-13.4368
177,-13.4368
178,-13.4368
179,-13.4368
180,-12.2209
181,-12.2209
182,-12.2209
183,-12.2209
184,-12.2209
185,-13.3704
186,-13.3704
187,-13.3704
188,-13.3704
189,-13.3704
190,-13.5871
191,-13.5871
192,-13.5871
193,-13.5871
194,-13.5871
195,-13.0623
196,-13.0623
197,-13.0623
198,-13.0623
199,-13.0623
200,-14.1536
201,-14.1536
202,-14.1536
203,-14.1536
204,-14.1536
205,-13.6852
206,-13.6852
207,-13.6852
208,-13.6852
209,-13.6852
210,-10.394
211,-10.394
212,-10.394
213,-10.394
214,-10.394
215,-11.1912
216,-11.1912
217,-11.1912
218,-11.1912
219,-11.1912
220,-7.6696
221,-7.6696
222,-7.6696
223,-7.6696
224,-7.6696
225,-9.6564
226,-9.6564
227,-9.6564
228,-9.6564
229,-9.6564
230,-12.8561
231,-12.8561
232,-12.8561
233,-12.8561
234,-12.8561
235,-9.1755
236,-9.1755
237,-9.1755
238,-9.1755
239,-9.1755
240,-11.9707
241,-11.9707
242,-11.9707
243,-11.9707
244,-11.9707
245,-12.5948
246,-12.5948
247,-12.5948
248,-12.5948
249,-12.5948
250,-12.838
251,-12.838
252,-12.838
253,-12.838
254,-12.838
258,-11.5404
259,-11.5404
260,-11.5404
261,-11.5404
294,-11.5404
295,-12.9033
296,-12.9033
297,-12.9033
298,-12.9033
299,-12.9033
300,-9.5774
301,-9.5774
302,-9.5774
303,-9.5774
304,-9.5774
305,-12.6383
306,-12.6383
307,-12.6383
308,-12.6383
309,-12.6383
310,-10.7831
311,-10.7831
312,-10.7831
313,-10.7831
314,-10.7831
315,-13.3817
316,-13.3817
317,-13.3817
318,-13.3817
319,-13.3817
320,-12.7577
321,-12.7577
322,-12.7577
323,-12.7577
324,-12.7577
325,-13.1232
326,-13.1232
327,-13.1232
328,-13.1232
329,-13.1232
330,-12.2567
331,-12.2567
332,-12.2567
333,-12.2567
334,-12.2567
335,-14.0146
336,-14.0146
337,-14.0146
338,-14.0146
339,-14.0146
340,-13.0365
341,-13.0365
342,-13.0365
343,-13.0365
344,-13.0365
345,-12.7882
346,-12.7882
347,-12.7882
348,-12.7882
349,-12.7882
350,-11.7221
351,-11.7221
352,-11.7221
353,-11.7221
354,-11.7221
355,-13.1432
356,-13.1432
357,-13.1432
358,-13.1432
359,-13.1432
360,-12.4659
361,-12.4659
362,-12.4659
363,-12.4659
364,-12.4659
365,-12.5682
366,-12.5682
367,-12.5682
368,-12.5682
369,-12.5682
370,-12.3243
371,-12.3243
372,-12.3243
373,-12.3243
374,-12.3243
375,-12.4781
376,-12.4781
377,-12.4781
378,-12.4781
379,-12.4781
380,-12.9766
381,-12.9766
382,-12.9766
383,-12.9766
384,-12.9766
385,-12.3015
386,-12.3015
387,-12.3015
388,-12.3015
389,-12.3015
390,-13.1222
